Tue Sep 11 15:21:36 CEST 2018;server write;1024;124;net;1;;
Tue Sep 11 15:21:48 CEST 2018;server read;1024;117;net;1;;
Tue Sep 11 15:21:48 CEST 2018;memory write;1024;0;ssd;1;;
Tue Sep 11 15:21:48 CEST 2018;memory read;1024;0;ssd;1;;
Tue Sep 11 15:22:00 CEST 2018;server write;2048;117;net;1;;
Tue Sep 11 15:22:10 CEST 2018;server read;2048;104;net;1;;
Tue Sep 11 15:22:10 CEST 2018;memory write;2048;0;ssd;1;;
Tue Sep 11 15:22:10 CEST 2018;memory read;2048;0;ssd;1;;
Tue Sep 11 15:22:21 CEST 2018;server write;4096;106;net;1;;
Tue Sep 11 15:22:34 CEST 2018;server read;4096;128;net;1;;
Tue Sep 11 15:22:34 CEST 2018;memory write;4096;0;ssd;1;;
Tue Sep 11 15:22:34 CEST 2018;memory read;4096;0;ssd;1;;
Tue Sep 11 15:22:46 CEST 2018;server write;8192;120;net;1;;
Tue Sep 11 15:22:57 CEST 2018;server read;8192;114;net;1;;
Tue Sep 11 15:22:57 CEST 2018;memory write;8192;0;ssd;1;;
Tue Sep 11 15:22:57 CEST 2018;memory read;8192;0;ssd;1;;
Tue Sep 11 15:23:11 CEST 2018;server write;16384;133;net;1;;
Tue Sep 11 15:23:22 CEST 2018;server read;16384;114;net;1;;
Tue Sep 11 15:23:22 CEST 2018;memory write;16384;0;ssd;1;;
Tue Sep 11 15:23:22 CEST 2018;memory read;16384;0;ssd;1;;
Tue Sep 11 15:23:34 CEST 2018;server write;32768;120;net;1;;
Tue Sep 11 15:23:46 CEST 2018;server read;32768;121;net;1;;
Tue Sep 11 15:23:46 CEST 2018;memory write;32768;0;ssd;1;;
Tue Sep 11 15:23:46 CEST 2018;memory read;32768;0;ssd;1;;
Tue Sep 11 15:24:00 CEST 2018;server write;65536;140;net;1;;
Tue Sep 11 15:24:17 CEST 2018;server read;65536;163;net;1;;
Tue Sep 11 15:24:17 CEST 2018;memory write;65536;1;ssd;1;;
Tue Sep 11 15:24:17 CEST 2018;memory read;65536;0;ssd;1;;
Tue Sep 11 15:24:32 CEST 2018;server write;131072;153;net;1;;42
Tue Sep 11 15:24:48 CEST 2018;server read;131072;160;net;1;;
Tue Sep 11 15:24:48 CEST 2018;memory write;131072;1;ssd;1;;
Tue Sep 11 15:24:48 CEST 2018;memory read;131072;0;ssd;1;;
Tue Sep 11 15:25:07 CEST 2018;server write;262144;189;net;1;;
Tue Sep 11 15:25:28 CEST 2018;server read;262144;207;net;1;;
Tue Sep 11 15:25:28 CEST 2018;memory write;262144;1;ssd;1;;
Tue Sep 11 15:25:28 CEST 2018;memory read;262144;0;ssd;1;;
Tue Sep 11 15:25:57 CEST 2018;server write;524288;287;net;1;;
Tue Sep 11 15:26:24 CEST 2018;server read;524288;269;net;1;;
Tue Sep 11 15:26:24 CEST 2018;memory write;524288;3;ssd;1;;
Tue Sep 11 15:26:24 CEST 2018;memory read;524288;0;ssd;1;;
Tue Sep 11 15:27:03 CEST 2018;server write;1048576;389;net;1;;71
Tue Sep 11 15:27:38 CEST 2018;server read;1048576;350;net;1;;
Tue Sep 11 15:27:39 CEST 2018;memory write;1048576;3;ssd;1;;
Tue Sep 11 15:27:39 CEST 2018;memory read;1048576;0;ssd;1;;
Tue Sep 11 15:28:42 CEST 2018;server write;2097152;629;net;1;;
Tue Sep 11 15:29:34 CEST 2018;server read;2097152;519;net;1;;
Tue Sep 11 15:29:34 CEST 2018;memory write;2097152;6;ssd;1;;
Tue Sep 11 15:29:34 CEST 2018;memory read;2097152;1;ssd;1;;
Tue Sep 11 15:31:25 CEST 2018;server write;4194304;1107;net;1;;
Tue Sep 11 15:32:53 CEST 2018;server read;4194304;878;net;1;;
Tue Sep 11 15:32:54 CEST 2018;memory write;4194304;14;ssd;1;;
Tue Sep 11 15:32:55 CEST 2018;memory read;4194304;4;ssd;1;;
Tue Sep 11 15:36:22 CEST 2018;server write;8388608;2073;net;1;;424
Tue Sep 11 15:39:07 CEST 2018;server read;8388608;1650;net;1;;
Tue Sep 11 15:39:10 CEST 2018;memory write;8388608;24;ssd;1;;
Tue Sep 11 15:39:10 CEST 2018;memory read;8388608;5;ssd;1;;
Tue Sep 11 15:45:58 CEST 2018;server write;16777216;4078;net;1;;
Tue Sep 11 15:51:05 CEST 2018;server read;16777216;3066;net;1;;
Tue Sep 11 15:51:09 CEST 2018;memory write;16777216;41;ssd;1;;
Tue Sep 11 15:51:11 CEST 2018;memory read;16777216;13;ssd;1;;
Tue Sep 11 16:05:04 CEST 2018;server write;33554432;8337;net;1;;
Tue Sep 11 16:17:11 CEST 2018;server read;33554432;7269;net;1;;
Tue Sep 11 16:17:19 CEST 2018;memory write;33554432;71;ssd;1;;
Tue Sep 11 16:17:21 CEST 2018;memory read;33554432;26;ssd;1;;
Tue Sep 11 17:25:46 CEST 2018;server write;1024;440;net;wan;;;
Tue Sep 11 17:26:53 CEST 2018;server read;1024;667;net;wan;;;
Tue Sep 11 17:26:55 CEST 2018;memory write;1024;1;HDD;wan;;;
Tue Sep 11 17:26:55 CEST 2018;memory read;1024;0;HDD;wan;;;
Tue Sep 11 17:28:09 CEST 2018;server write;2048;739;net;wan;;;
Tue Sep 11 17:29:18 CEST 2018;server read;2048;689;net;wan;;;
Tue Sep 11 17:29:18 CEST 2018;memory write;2048;3;HDD;wan;;;
Tue Sep 11 17:29:18 CEST 2018;memory read;2048;0;HDD;wan;;;
Tue Sep 11 17:30:23 CEST 2018;server write;4096;647;net;wan;;;
Tue Sep 11 17:31:24 CEST 2018;server read;4096;610;net;wan;;;
Tue Sep 11 17:31:24 CEST 2018;memory write;4096;4;HDD;wan;;;
Tue Sep 11 17:31:24 CEST 2018;memory read;4096;0;HDD;wan;;;
Tue Sep 11 17:32:30 CEST 2018;server write;8192;650;net;wan;;;
Tue Sep 11 17:33:26 CEST 2018;server read;8192;566;net;wan;;;
Tue Sep 11 17:33:27 CEST 2018;memory write;8192;4;HDD;wan;;;
Tue Sep 11 17:33:27 CEST 2018;memory read;8192;0;HDD;wan;;;
Tue Sep 11 18:55:27 CEST 2018;server write;16384;593;net;wan;;;
Tue Sep 11 18:55:28 CEST 2018;server read;16384;388;net;wan;;;
Tue Sep 11 18:55:30 CEST 2018;memory write;16384;801;HDD;wan;;;
Tue Sep 11 18:55:30 CEST 2018;memory read;16384;1;HDD;wan;;;
Tue Sep 11 18:55:32 CEST 2018;server write;32768;625;net;wan;;;
Tue Sep 11 18:55:34 CEST 2018;server read;32768;525;net;wan;;;
Tue Sep 11 18:55:34 CEST 2018;memory write;32768;1;HDD;wan;;;
Tue Sep 11 18:55:34 CEST 2018;memory read;32768;0;HDD;wan;;;
Tue Sep 11 18:55:36 CEST 2018;server write;65536;675;net;wan;;;
Tue Sep 11 18:55:37 CEST 2018;server read;65536;464;net;wan;;;
Tue Sep 11 18:55:37 CEST 2018;memory write;65536;4;HDD;wan;;;
Tue Sep 11 18:55:37 CEST 2018;memory read;65536;1;HDD;wan;;;
Tue Sep 11 19:13:21 CEST 2018;server write;131072;833;net;wan;;;
Tue Sep 11 19:13:23 CEST 2018;server read;131072;505;net;wan;;;
Tue Sep 11 19:13:25 CEST 2018;memory write;131072;794;HDD;wan;;;
Tue Sep 11 19:13:25 CEST 2018;memory read;131072;1;HDD;wan;;;
Tue Sep 11 19:13:29 CEST 2018;server write;262144;1251;net;wan;;;
Tue Sep 11 19:13:31 CEST 2018;server read;262144;692;net;wan;;;
Tue Sep 11 19:13:31 CEST 2018;memory write;262144;7;HDD;wan;;;
Tue Sep 11 19:13:31 CEST 2018;memory read;262144;0;HDD;wan;;;
Tue Sep 11 19:13:36 CEST 2018;server write;524288;1659;net;wan;;;
Tue Sep 11 19:13:40 CEST 2018;server read;524288;1396;net;wan;;;
Tue Sep 11 19:13:41 CEST 2018;memory write;524288;141;HDD;wan;;;
Tue Sep 11 19:13:41 CEST 2018;memory read;524288;0;HDD;wan;;;
Tue Sep 11 19:13:50 CEST 2018;server write;1048576;3076;net;wan;;;
Tue Sep 11 19:13:55 CEST 2018;server read;1048576;1747;net;wan;;;
Tue Sep 11 19:13:56 CEST 2018;memory write;1048576;156;HDD;wan;;;
Tue Sep 11 19:13:56 CEST 2018;memory read;1048576;1;HDD;wan;;;
Tue Sep 11 19:14:17 CEST 2018;server write;2097152;7093;net;wan;;;
Tue Sep 11 19:14:24 CEST 2018;server read;2097152;2269;net;wan;;;
Tue Sep 11 19:14:24 CEST 2018;memory write;2097152;183;HDD;wan;;;
Tue Sep 11 19:14:24 CEST 2018;memory read;2097152;3;HDD;wan;;;
Tue Sep 11 19:15:06 CEST 2018;server write;4194304;13953;net;wan;;;
Tue Sep 11 19:15:26 CEST 2018;server read;4194304;6714;net;wan;;;
Tue Sep 11 19:15:27 CEST 2018;memory write;4194304;236;HDD;wan;;;
Tue Sep 11 19:15:27 CEST 2018;memory read;4194304;7;HDD;wan;;;
Tue Sep 11 19:16:53 CEST 2018;server write;8388608;28653;net;wan;;;
Tue Sep 11 19:17:24 CEST 2018;server read;8388608;10407;net;wan;;;
Tue Sep 11 19:17:25 CEST 2018;memory write;8388608;358;HDD;wan;;;
Tue Sep 11 19:17:25 CEST 2018;memory read;8388608;8;HDD;wan;;;