Local connection;Time of test;file size[kB];buffer size[kB];send time[ms];recieve time[ms];memory time[ms];memory type
TRUE;Thu Jan 11 15:32:53 CET 2018;200;1;3;2;20;SSD
TRUE;Sun Jan 14 20:04:54 CET 2018;500;1;9;6;16;SSD
TRUE;Sun Jan 14 20:06:36 CET 2018;100;1;4;3;15;SSD
TRUE;Sun Jan 14 20:08:57 CET 2018;100;1;4;3;14;SSD
TRUE;Sun Jan 14 20:11:22 CET 2018;100;1;6;3;14;SSD
TRUE;Sun Jan 14 20:17:29 CET 2018;100;1;3;4;14;SSD
TRUE;Sun Jan 14 20:18:38 CET 2018;1000;1;13;10;19;SSD
TRUE;Sun Jan 14 20:21:42 CET 2018;12;1;1;1;14;SSD
TRUE;Sun Jan 14 20:25:44 CET 2018;100;1;3;2;13;SSD
TRUE;Sun Jan 14 20:31:42 CET 2018;100;1;2;2;14;SSD
TRUE;Mon Jan 15 00:48:09 CET 2018;100;1;4;3;22;SSD
TRUE;Mon Jan 15 00:51:34 CET 2018;10000;1;85;65;36;SSD
TRUE;Mon Jan 15 00:51:34 CET 2018;10000;1;90;57;18;SSD
TRUE;Mon Jan 15 00:51:35 CET 2018;10000;1;56;53;20;SSD
TRUE;Mon Jan 15 00:54:51 CET 2018;100000;1;680;790;227;SSD
TRUE;Mon Jan 15 00:54:52 CET 2018;100000;1;750;857;232;SSD
TRUE;Mon Jan 15 00:54:54 CET 2018;100000;1;654;677;171;SSD
TRUE;Mon Jan 15 00:54:56 CET 2018;100000;1;687;771;168;SSD
TRUE;Mon Jan 15 00:54:57 CET 2018;100000;1;865;741;164;SSD
TRUE;Mon Jan 15 00:54:59 CET 2018;100000;1;626;651;157;SSD
TRUE;Mon Jan 15 00:55:01 CET 2018;100000;1;628;878;194;SSD
TRUE;Mon Jan 15 00:55:02 CET 2018;100000;1;938;793;181;SSD
TRUE;Mon Jan 15 00:55:04 CET 2018;100000;1;1151;660;148;SSD
TRUE;Mon Jan 15 00:55:06 CET 2018;100000;1;620;646;152;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;7;1;16;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;2;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;2;1;0;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;0;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;2;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;1;1;SSD
TRUE;Mon Jan 15 01:03:24 CET 2018;100;1;1;1;1;SSD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;6;1;371;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;4;2;3;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;4;1;1;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;1;2;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;3;1;2;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;1;1;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;0;1;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;0;2;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;1;2;external HDD
TRUE;Mon Jan 15 01:14:48 CET 2018;100;1;2;1;1;external HDD
TRUE;Mon Jan 15 01:15:27 CET 2018;10000;1;86;69;650;external HDD
TRUE;Mon Jan 15 01:15:27 CET 2018;10000;1;71;66;201;external HDD
TRUE;Mon Jan 15 01:15:28 CET 2018;10000;1;80;92;215;external HDD
TRUE;Mon Jan 15 01:15:28 CET 2018;10000;1;82;46;204;external HDD
TRUE;Mon Jan 15 01:15:29 CET 2018;10000;1;75;76;206;external HDD
TRUE;Mon Jan 15 01:15:29 CET 2018;10000;1;107;128;249;external HDD
TRUE;Mon Jan 15 01:15:29 CET 2018;10000;1;62;93;211;external HDD
TRUE;Mon Jan 15 01:15:30 CET 2018;10000;1;52;46;210;external HDD
TRUE;Mon Jan 15 01:15:30 CET 2018;10000;1;72;52;206;external HDD
TRUE;Mon Jan 15 01:15:30 CET 2018;10000;1;52;53;206;external HDD
true;Mon Jan 15 10:00:46 CET 2018;1000;5;9;16;18;SSD
true;Mon Jan 15 10:00:46 CET 2018;1000;5;5;6;3;SSD
true;Mon Jan 15 10:00:46 CET 2018;1000;5;3;5;3;SSD
true;Mon Jan 15 10:00:46 CET 2018;1000;5;3;5;3;SSD
true;Mon Jan 15 10:00:46 CET 2018;1000;5;3;5;4;SSD
true;Mon Jan 15 10:02:10 CET 2018;1000;50;7;15;18;SSD
true;Mon Jan 15 10:02:10 CET 2018;1000;50;3;6;3;SSD
true;Mon Jan 15 10:02:10 CET 2018;1000;50;3;5;3;SSD
true;Mon Jan 15 10:02:10 CET 2018;1000;50;3;5;3;SSD
true;Mon Jan 15 10:02:10 CET 2018;1000;50;2;5;5;SSD
false;Mon Jan 15 10:15:29 CET 2018;1000;50;403;511;20;SSD
false;Mon Jan 15 10:16:32 CET 2018;10000;10;2768;2462;36;SSD
false;Mon Jan 15 10:17:38 CET 2018;100;1;5250;74;14;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;57;54;35;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;25;41;17;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;17;58;23;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;14;39;15;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;12;32;25;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;30;71;16;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;14;34;20;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;19;37;19;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;32;31;16;SSD
true;Mon Jan 15 11:03:58 CET 2018;10000;10;13;43;26;SSD
true;Wed Jan 24 16:36:40 CET 2018;100;100;8;1;20;SSD
true;Thu Jan 25 08:56:53 CET 2018;10000;10;43;52;39;SSD
true;Thu Jan 25 08:56:53 CET 2018;10000;10;30;56;18;SSD
true;Thu Jan 25 09:32:20 CET 2018;10000;40;36;53;80;SSD
true;Thu Jan 25 09:33:31 CET 2018;100000;40;262;462;207;SSD
true;Thu Jan 25 09:34:45 CET 2018;100;10;3;2;25;SSD
true;Thu Jan 25 09:34:45 CET 2018;100;10;0;1;1;SSD
true;Thu Jan 25 09:35:40 CET 2018;100000;10;303;476;200;SSD
true;Thu Jan 25 09:36:24 CET 2018;5;10;2;0;23;SSD
true;Thu Jan 25 09:40:54 CET 2018;100000;10;311;485;343;SSD
true;Thu Jan 25 09:41:52 CET 2018;100000;10;291;467;211;SSD
true;Thu Jan 25 10:43:46 CET 2018;100;10;1516873391608;12;323;SSD
true;Thu Jan 25 10:43:49 CET 2018;100;10;1516873391608;12;323;SSD