Local connection;Time of test;test type;file size[kB];time[ms];memory type;;;average speed
TRUE;Thu Jan 25 12:12:43 CET 2018;server send;1000;11;null;;;
TRUE;Thu Jan 25 12:15:45 CET 2018;server send;100;5;null;;server send;190,1785714
TRUE;Thu Jan 25 12:21:41 CET 2018;server send;10000;42;null;;server receive;232,5581395
TRUE;Thu Jan 25 12:26:46 CET 2018;memory save;1000;27;SSD;;memory save;118,2795699
TRUE;Thu Jan 25 12:27:01 CET 2018;memory read;1000;6;SSD;;memory read;255,8139535
TRUE;Thu Jan 25 12:28:29 CET 2018;server send;100;3;null;;;
TRUE;Thu Jan 25 12:30:37 CET 2018;server send;100;3;null;;;
TRUE;Thu Jan 25 12:35:19 CET 2018;server send;10000;48;null;;;
TRUE;Thu Jan 25 12:35:29 CET 2018;server receive;10000;43;null;;;
TRUE;Thu Jan 25 12:35:47 CET 2018;memory save;10000;66;SSD;;;
TRUE;Thu Jan 25 12:36:00 CET 2018;memory read;10000;37;SSD;;;
true;Thu Jan 25 13:14:42 CET 2018;server send;10000;42;null;;;
true;Thu Jan 25 13:14:56 CET 2018;server send;1000;7;null;;;
true;Thu Jan 25 13:15:39 CET 2018;server send;1000;9;null;;;
true;Thu Jan 25 13:15:49 CET 2018;server receive;1000;6;null;;;
true;Thu Jan 25 13:15:56 CET 2018;server receive;1000;7;null;;;
true;Thu Jan 25 13:16:08 CET 2018;server send;1000;10;null;;;
true;Thu Jan 25 13:16:17 CET 2018;server receive;1000;0;null;;;
true;Thu Jan 25 13:16:32 CET 2018;server receive;1000;0;null;;;
true;Thu Jan 25 13:18:18 CET 2018;server send;100;4;null;;;
true;Thu Jan 25 13:18:45 CET 2018;server send;1000;11;null;;;
true;Thu Jan 25 13:20:02 CET 2018;server receive;1000;0;null;;;
true;Thu Jan 25 13:20:42 CET 2018;server send;100;5;null;;;
true;Thu Jan 25 13:20:59 CET 2018;server send;1000;8;null;;;
true;Thu Jan 25 13:22:22 CET 2018;server receive;1000;0;null;;;
true;Thu Jan 25 13:23:42 CET 2018;server send;100;4;null;;;
true;Thu Jan 25 13:23:47 CET 2018;server receive;100;1;null;;;
true;Thu Jan 25 13:24:10 CET 2018;server send;100;2;null;;;
true;Thu Jan 25 13:25:31 CET 2018;server send;100;6;null;;;
true;Thu Jan 25 13:25:38 CET 2018;server send;100;1;null;;;
true;Thu Jan 25 13:25:47 CET 2018;server receive;100;0;null;;;
true;Thu Jan 25 13:26:24 CET 2018;server send;10;2;null;;;
true;Thu Jan 25 13:26:33 CET 2018;server send;1000;9;null;;;
true;Thu Jan 25 13:27:50 CET 2018;server send;100;4;null;;;
true;Thu Jan 25 13:27:59 CET 2018;server send;10;1;null;;;
true;Thu Jan 25 13:30:15 CET 2018;server send;100;6;null;;;
true;Thu Jan 25 13:30:42 CET 2018;server send;1000;10;null;;;
true;Thu Jan 25 13:31:12 CET 2018;server send;1000;9;null;;;
true;Thu Jan 25 13:31:20 CET 2018;server send;10;1;null;;;
true;Thu Jan 25 13:31:28 CET 2018;server receive;10;1;null;;;
true;Thu Jan 25 13:31:41 CET 2018;memory save;10;23;SSD;;;
true;Thu Jan 25 13:31:56 CET 2018;memory read;10;7;SSD;;;
true;Thu Jan 25 13:33:31 CET 2018;server send;1000;9;null;;;
true;Thu Jan 25 13:33:43 CET 2018;server receive;1000;10;null;;;
true;Thu Jan 25 13:50:18 CET 2018;server send;100000;291;null;;;
true;Thu Jan 25 13:52:16 CET 2018;server send;200000;563;null;;;
true;Thu Jan 25 13:52:29 CET 2018;memory save;200000;398;SSD;;;
true;Wed Apr 18 19:13:43 CEST 2018;server send;100;5;null;;;
true;Wed Apr 18 19:14:02 CEST 2018;server receive;100;1;null;;;
true;Fri Apr 20 17:48:03 CEST 2018;server send;100;1;null;;;
true;Fri Apr 20 17:51:17 CEST 2018;server send;100;5;null;;;
true;Fri Apr 20 17:51:36 CEST 2018;server receive;100;1;null;;;
true;Tue Apr 24 17:30:51 CEST 2018;server send;100;6;null;;;
true;Tue Apr 24 17:39:00 CEST 2018;server send;10;5;null;;;
true;Tue Apr 24 17:39:06 CEST 2018;server receive;10;1;null;;;
true;Tue Apr 24 18:21:35 CEST 2018;server send;100;8;null;;;
true;Tue Apr 24 18:22:28 CEST 2018;server send;12;6;null;;;
true;Tue Apr 24 18:22:55 CEST 2018;server send;12;6;null;;;
true;Tue Apr 24 18:24:58 CEST 2018;server send;12;4;null;;;
true;Tue Apr 24 18:25:45 CEST 2018;server send;12;5;null;;;
true;Tue Apr 24 18:27:56 CEST 2018;server send;12;3;null;;;
true;Tue Apr 24 18:30:17 CEST 2018;server send;12;112002;null;;;
true;Tue Apr 24 18:30:53 CEST 2018;server send;10;8;null;;;
true;Tue Apr 24 18:30:59 CEST 2018;server receive;10240;4;null;;;
true;Tue Apr 24 18:31:25 CEST 2018;memory save;10240;0;SSD;;;
true;Tue Apr 24 18:31:44 CEST 2018;memory save;10240;0;ssd;;;
true;Tue Apr 24 18:32:10 CEST 2018;memory read;10240;9;ssd;;;